ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS100C1_A,PS100C1_M,PS100C_1S,PS8
2025,      452505801,3,4525,58,1,1,6,2,1
2025,      452506401,5,4525,64,1,0,6,2,1
2025,      452603701,4,4526,37,1,2,10,2,1
2025,      452605201,3,4526,52,1,0,4,2,1
2025,      452607901,4,4526,79,1,1,4,2,1
2025,      452702701,4,4527,27,1,1,0,2,1
2025,      452708001,4,4527,80,1,0,4,2,1
2025,      452807801,4,4528,78,1,0,6,2,1
2025,      452901601,4,4529,16,1,0,4,2,1
2025,      452917901,3,4529,179,1,0,4,2,1
2025,      452918201,6,4529,182,1,1,0,2,1
2025,      453002501,2,4530,25,1,1,7,2,1
2025,      453002601,4,4530,26,1,1,0,2,1
2025,      453003401,3,4530,34,1,0,8,2,1
2025,      453006601,5,4530,66,1,0,8,2,1
2025,      453101201,3,4531,12,1,0,2,2,1
2025,      453200201,6,4532,2,1,1,0,2,1
2025,      453202001,3,4532,20,1,1,11,2,1
2025,      453206701,3,4532,67,1,2,9,2,1
2025,      453208001,4,4532,80,1,2,3,2,1
2025,      453302501,6,4533,25,1,0,4,2,1
2025,      453304201,3,4533,42,1,0,4,2,1
2025,      453304501,4,4533,45,1,1,3,2,1
2025,      453306901,2,4533,69,1,0,11,2,1
2025,      453811101,6,4538,111,1,0,7,2,1
2025,      455312601,5,4553,126,1,0,1,2,1
2025,      455312701,4,4553,127,1,0,1,2,1
2025,      455313501,3,4553,135,1,0,2,2,1
2025,      455905901,3,4559,59,1,0,4,2,1
2025,      455913001,3,4559,130,1,1,1,2,1
2025,      456001701,3,4560,17,1,0,2,2,1
2025,      456105901,3,4561,59,1,2,4,1,1
2025,      456105901,4,4561,59,1,0,1,2,2
2025,      456109301,3,4561,93,1,2,5,2,1
2025,      457000701,4,4570,7,1,2,0,2,1
2025,      457205701,5,4572,57,1,1,1,2,1
2025,      457205801,4,4572,58,1,0,10,2,1
2025,      457209601,3,4572,96,1,1,3,2,1
2025,      457303001,2,4573,30,1,1,2,2,1
2025,      457303201,6,4573,32,1,2,2,2,1
2025,      457303301,7,4573,33,1,0,6,2,1
2025,      457404901,5,4574,49,1,0,11,2,1
2025,      457405001,3,4574,50,1,1,3,2,1
2025,      457405201,3,4574,52,1,1,1,2,1
2025,      457409401,3,4574,94,1,0,5,2,1
2025,      457410301,5,4574,103,1,1,2,2,1
