ID1,NRO_ORDEN_ID,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M,HHID
2023,1,1,67,5,2019, ,      081201701
2023,1,2,64,3,2019, ,      081211201
2023,1,1,89,1,2020, ,      081401701
2023,1,2,1,4,2018, ,      081409201
2023,1,2,92,11,2018, ,      082307901
2023,1,2,46,3,2022,4,      082314601
2023,1,1,4,11,2022, ,      082807001
2023,1,1,65,4,2020, ,      082905201
2023,1,2,28,8,2020,4,      083401601
2023,1,2,59,11,2021, ,      083406001
2023,1,1,51,6,2020, ,      083414801
2023,1,1,83,5,2021, ,      084317101
2023,1,1,31,7,2020, ,      084604501
2023,1,2,80,3,2021, ,      084802501
2023,1,1,69,1,2021, ,      085108001
2023,1,1,30,7,2022, ,      085410801
2023,1,1,78,5,2020, ,      086106701
2023,1,1,60,12,2020, ,      086402601
2023,2,2,92,1,2021, ,      086402601
2023,1,1,79,4,2019, ,      086404301
2023,1,1,85,8,2020, ,      086406401
2023,2,2,82,4,2021, ,      086406401
2023,1,2,90,6,2022, ,      086410301
2023,1,2,90,7,2019, ,      086410401
2023,2,1,52,9,2022, ,      086410401
2023,1,1,83,5,2021, ,      086411801
2023,1,1,77,12,2022, ,      086908101
2023,1,2,60,11,2019, ,      086914601
2023,1,2,40,5,2019,4,      087110101
2023,1,2,29,6,2021,4,      087210001
2023,1,1,84,2,2021, ,      087800401
2023,1,1,22,10,2018, ,      087807001
2023,1,2,50,8,2020, ,      087807501
2023,2,1,52,8,2020, ,      087807501
2023,1,1,97,4,2022, ,      088003801
2023,1,2,85,7,2022, ,      088017601
2023,1,1,94,3,2021, ,      088700101
2023,1,1,67,7,2020, ,      088708701
2023,1,1,64,11,2022, ,      089714001
2023,1,1,69,7,2022, ,      089714002
2023,1,2,74,6,2019, ,      090108201
2023,2,1,72,7,2020, ,      090108201
2023,3,1,30,2,2021, ,      090108201
2023,1,1,74,3,2021, ,      091004401
2023,1,1,50,3,2023, ,      091011701
2023,1,1,82,5,2020, ,      091015301
2023,2,2,75,5,2020, ,      091015301
2023,1,2,65,3,2021, ,      093601701
2023,1,1,85,11,2020, ,      093619801
2023,1,1,54,4,2020, ,      094101801
2023,1,1,69,4,2019, ,      094111401
2023,1,2,55,4,2020, ,      094213501
2023,1,1,88,8,2021, ,      094608101
2023,1,2,65,11,2022, ,      095401901
2023,1,1,49,5,2020, ,      095515501
2023,1,2,102,3,2023, ,      096207301
2023,1,1,75,4,2021, ,      096415901
2023,1,2,58,7,2020, ,      097409101
2023,1,2,50,1,2020, ,      097611101
2023,2,1,88,2,2022, ,      097611101
2023,1,1,45,11,2021, ,      097613801
2023,1,1,31,9,2022, ,      098006201
2023,1,2,98,11,2018, ,      098606001
2023,1,1,101,4,2023, ,      099301201
2023,1,1,65,3,2021, ,      099702301
2023,1,2,86,5,2021, ,      100101001
2023,1,1,72,5,2020, ,      100313601
2023,1,1,52,8,2019, ,      100411201
2023,1,2,80,2,2022, ,      100705101
2023,1,2,91,12,2022, ,      101113601
2023,1,1,63,4,2021, ,      101117001
2023,1,2,68,3,2022, ,      101411001
2023,1,1,43,9,2021, ,      101800102
2023,1,1,17,4,2021, ,      102710901
2023,1,2,84,4,2021, ,      103101701
2023,1,2,72,4,2019, ,      103101801
2023,1,2,86,7,2021, ,      103103101
2023,1,2,78,7,2020, ,      103103201
2023,1,2,83,8,2021, ,      103111601
2023,1,2,15,10,2019,4,      104401801
2023,1,1,56,4,2021, ,      104407901
2023,1,2,47,11,2020,4,      105816801
2023,1,1,85,3,2023, ,      105911201
2023,1,2,87,3,2021, ,      105915201
2023,2,1,82,1,2022, ,      105915201
2023,1,1,1,12,2018, ,      105915901
2023,1,1,34,3,2021, ,      106005801
2023,1,2,36,5,2020,4,      106007501
2023,1,1,52,5,2020, ,      106202601
